parcelid,xcoord_p,ycoord_p,sqft_p,taz_p,block_p,hh_p,stugrad_p,stuhgh_p,stuuni_p,empedu_p,empfoo_p,empgov_p,empind_p,empmed_p,empofc_p,empret_p,empsvc_p,empoth_p,emptot_p,parkdy_p,parkhr_p,ppricdyp,pprichrp
1,6115057.606,2242899.431,2860.629,2221,0,7,0,0,0,169,0,0,0,0,0,0,0,0,169,0,0,0,0
2,6105939.324,2247125.266,18308.318,2221,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,6118696.47,2236080.068,21991.974,2221,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
4,6123196.121,2233153.911,1073.703,2221,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6098276.075,2235064.406,6946.693,2221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6105028.677,2260131.255,432.088,2221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6091249.364,2231845.859,27297.614,2221,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
8,6098100.804,2249259.26,10045.365,2221,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
9,6106258.783,2250638.56,5608.052,2221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6100921.962,2235016.648,6978.577,2221,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
11,6103800.123,2241679.921,15056.39,2221,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
12,6110124.65,2252941.486,85332.073,2221,0,12,0,0,0,0,0,0,0,1,0,0,0,4,5,0,0,0,0
13,6120991.84,2244125.452,218279.15,2221,0,15,0,0,0,0,0,0,0,1,0,0,0,3,4,0,0,0,0
14,6102967.186,2255733.61,27287.387,2221,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
15,6101584.27,2230984.899,35034.568,2221,0,1,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0
16,6107742.308,2241448.996,26658.858,2221,0,11,0,0,0,0,0,0,0,13,0,0,0,1,14,0,0,0,0
17,6113172.671,2238298.315,61275.064,2221,0,7,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0
18,6115593.385,2229384.886,42139.909,2221,0,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
19,6100445.268,2225991.704,19300.752,2221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6119396.454,2229819.695,20872.004,2221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6121917.876,2241300.017,10144.219,2221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6098326.693,2237703.51,6992.507,2221,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6103591.553,2237571.162,6940.26,2221,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
24,6112630.315,2227588.391,33975.056,2221,0,4,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0
25,6104219.808,2225302.419,20281.905,2221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6101037.81,2241619.076,13972.434,2221,0,10,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
27,6100898.615,2251635.022,29656.116,2221,0,15,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0
28,6118309.794,2241519.289,26869.985,2221,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
29,6106453.466,2260687.767,3346.089,2221,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,6101938.622,2249352.501,430.659,2221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
