MAZ,TAZ,SOI,HH_POP,Base_HH,Base_HU,Base_EMP,HU_SF,HU_MF,HU_OTH,Base_EDU,Base_FOO,Base_GOV,Base_IND,Base_MED,Base_OFC,Base_OTH,Base_RET,Base_AGR,Base_SCHL,Base_ELEM,Base_HS,Base_COLLEGE,PLANNED,GEO_AREA
1,2221,Unincorporate,12,4,4,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Rural
2,2221,Unincorporate,9,3,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
3,2221,Unincorporate,6,2,2,4,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,Rural
4,2221,Unincorporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
5,2221,Unincorporate,12,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
6,2221,Unincorporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
7,2221,Unincorporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
8,2221,Unincorporate,12,4,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
9,2221,Unincorporate,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
10,2221,Unincorporate,21,7,7,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
11,2221,Unincorporate,30,10,10,3,8,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Rural
12,2221,Unincorporate,59,19,19,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
13,2221,Unincorporate,71,23,23,9,13,0,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,Rural
14,2221,Unincorporate,9,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
15,2221,Unincorporate,12,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
16,2221,Unincorporate,46,15,15,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
17,2221,Unincorporate,43,14,14,23,8,0,6,0,0,0,0,0,0,0,0,23,0,0,0,0,0,Rural
18,2221,Unincorporate,31,10,10,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
19,2221,Unincorporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
20,2221,Unincorporate,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
21,2221,Unincorporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
22,2221,Unincorporate,6,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
23,2221,Unincorporate,9,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
24,2221,Unincorporate,16,5,5,1,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Rural
25,2221,Unincorporate,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
26,2221,Unincorporate,37,12,12,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
27,2221,Unincorporate,71,23,23,3,10,0,13,0,0,0,0,1,0,0,0,2,0,0,0,0,0,Rural
28,2221,Unincorporate,9,3,3,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Rural
29,2221,Unincorporate,6,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
30,2221,Unincorporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
31,2221,Unincorporate,9,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
32,2221,Unincorporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
33,2221,Unincorporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
34,2221,Unincorporate,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
35,2221,Unincorporate,21,7,7,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
36,2221,Unincorporate,28,9,9,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
37,2221,Unincorporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
38,2221,Unincorporate,46,15,15,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
39,2221,Unincorporate,12,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
40,2221,Unincorporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
41,2221,Unincorporate,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
42,2221,Unincorporate,40,13,13,2,9,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Rural
43,2221,Unincorporate,6,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
44,2221,Unincorporate,30,10,10,3,5,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Rural
45,2221,Unincorporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
46,2221,Unincorporate,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
47,2221,Unincorporate,6,2,2,37,2,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,Rural
48,2223,Unincorporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
49,2223,Unincorporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
50,2223,Unincorporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
51,2223,Unincorporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
52,2223,Unincorporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rural
