SOI,YEAR,POP_TOT,POP_HH,HH_TOT,POP_GRP,POP_SCHL,AGE_0005,AGE_0614,AGE_1519,AGE_2024,AGE_2534,AGE_3544,AGE_4554,AGE_5564,AGE_6574,AGE_75p,RACE_White,RACE_Hisp,RACE_Black,RACE_Asian,RACE_PacIs,RACE_NatAm,RACE_Other,RACE_TwoPlus,INC_0010,INC_1024,INC_2534,INC_3549,INC_5074,INC_7599,INC_100149,INC_150p,EMP_AGR,EMP_OTH,EMP_IND,EMP_RET,EMP_OFC,EMP_EDU,EMP_MED,EMP_FOO,EMP_GOV,EMP_TOT,HU_tot,OccRate
Fresno County,2022,1010545,991834,327027,18712,204154,81333,142415,78900,72979,145359,132556,109307,106802,83248,57646,,,,,,,,,,,,,,,,,67253,18701,68201,39389,50349,38882,75166,32358,24446,414745,344985,0.947945563
Fresno County,2023,1012524,993782,328642,18742,202610,80397,139124,80375,73853,144237,134341,109844,105446,84715,60191,,,,,,,,,,,,,,,,,68200,18799,67300,39494,50312,38995,75398,32500,24598,415596,353982,0.928414439
Fresno County,2024,1014946,996178,330265,18768,201065,80326,136085,80604,74585,144020,135826,110284,104411,86192,62612,,,,,,,,,,,,,,,,,69199,18999,67138,39694,50424,39089,75584,32596,24694,417417,363213,0.909287388
Fresno County,2025,1017950,999149,331896,18801,199521,81099,132492,80630,75067,142649,137164,111555,103948,87801,65544,,,,,,,,,,,,,,,,,71199,18998,67871,39795,50831,39181,75776,32704,24789,421144,372684,0.890556074
Fresno County,2026,1021347,1002501,334126,18846,197617,82121,128967,80634,75852,141946,138531,112730,103148,89347,68070,,,,,,,,,,,,,,,,,71398,19198,68569,39899,51017,39285,75977,32810,24893,423046,375141,0.890667776
Fresno County,2027,1026804,1007582,336371,19222,195712,82442,126673,80037,77528,141622,139508,115096,102450,90615,70835,,,,,,,,,,,,,,,,,71500,19401,69363,40100,51305,39589,76270,33015,24999,425542,377614,0.890780003
Fresno County,2028,1031856,1012567,338631,19289,193808,82749,124870,78423,79263,142237,139926,117685,101636,91380,73689,,,,,,,,,,,,,,,,,71599,19600,70066,40298,51800,39786,76470,33116,25100,427835,380103,0.890892732
Fresno County,2029,1036756,1017401,340907,19354,191903,83115,123289,77551,79736,143148,140903,119945,100485,92117,76465,,,,,,,,,,,,,,,,,71701,19799,70759,40500,52100,39979,76760,33319,25199,430116,382609,0.891006223
Fresno County,2030,1041675,1022255,343198,19420,189999,83525,121684,76816,79963,143873,140746,122498,100286,92472,79811,,,,,,,,,,,,,,,,,71799,20000,71460,41200,52400,40180,76959,33419,25299,432716,385129,0.891124792
Fresno County,2031,1046716,1027223,344858,19493,189041,83903,120797,75665,80147,145540,140862,124519,100294,92569,82419,,,,,,,,,,,,,,,,,70000,20199,72175,41401,52798,40383,77260,33619,25399,433234,386960,0.891198057
Fresno County,2032,1051845,1032497,346526,19348,188082,84343,120376,74121,79578,147932,140653,126739,100924,92044,85134,,,,,,,,,,,,,,,,,70199,20301,72789,41600,53200,40571,77554,33725,25599,435538,388800,0.891270576
Fresno County,2033,1056904,1037483,348203,19421,187124,84799,120789,72268,78025,150862,140156,128983,101852,91240,87930,,,,,,,,,,,,,,,,,70301,20599,73501,41699,53600,40771,77755,33925,25701,437852,390649,0.891344916
Fresno County,2034,1061745,1042255,349887,19490,186165,85247,121971,69900,77205,152367,140465,130875,102647,90671,90398,,,,,,,,,,,,,,,,,70500,20799,74210,41900,53901,40961,78050,34029,25800,440150,392506,0.89141822
Fresno County,2035,1066607,1047047,351580,19560,185207,85643,123457,67273,76525,153355,139584,132607,104238,90618,93308,,,,,,,,,,,,,,,,,70600,20952,74922,42401,54198,41062,78250,34381,25901,442667,394370,0.891497832
Fresno County,2036,1071499,1051869,352718,19631,186703,85969,124122,66187,75424,154572,139298,134307,105664,90218,95737,,,,,,,,,,,,,,,,,70800,21249,75836,42601,54701,41263,78549,34480,26000,445479,395620,0.891557555
Fresno County,2037,1076440,1056948,353859,19492,188200,86287,124773,65599,73929,155778,139113,135374,108007,89699,97880,,,,,,,,,,,,,,,,,70902,21350,76548,42800,54998,41450,78843,34685,26100,447676,396874,0.891615475
Fresno County,2038,1081240,1061680,355004,19560,189696,86541,125462,65818,72125,156088,139894,135941,110571,89118,99683,,,,,,,,,,,,,,,,,71102,21550,77265,42999,55401,41650,79045,34785,26301,450098,398131,0.891676358
Fresno County,2039,1086054,1066425,356153,19629,191193,86698,126205,66799,69823,155931,141010,137086,112837,88255,101410,,,,,,,,,,,,,,,,,71297,21750,77979,43200,55701,41839,79341,34990,26401,452498,399392,0.891737942
Fresno County,2040,1090818,1071121,357305,19697,192689,86719,126962,68060,67260,155668,141953,137157,115452,88292,103296,,,,,,,,,,,,,,,,,71400,21951,78790,43300,56199,42041,79541,35090,26500,454812,400655,0.891802174
Fresno County,2041,1095433,1075671,358432,19763,193807,86616,127750,68424,66231,154926,143800,137450,117495,88441,104302,,,,,,,,,,,,,,,,,71600,22151,79402,43500,56500,42230,79840,35290,26602,457115,401894,0.891857057
Fresno County,2042,1099863,1080086,359562,19777,194924,86464,128471,68781,65684,153011,146344,137403,119711,89111,104883,,,,,,,,,,,,,,,,,71901,22250,80115,43700,56899,42420,80036,35393,26701,459415,403137,0.891910194
Fresno County,2043,1104105,1084268,360695,19837,196042,86233,129120,69180,65943,149798,149421,137067,121956,90041,105347,,,,,,,,,,,,,,,,,72201,22449,80831,43902,57201,42519,80235,35596,26801,461735,404384,0.891961601
Fresno County,2044,1107911,1088019,361833,19891,197159,85873,129646,69622,66937,146774,151073,137511,123835,90856,105783,,,,,,,,,,,,,,,,,72300,22551,81644,44000,57598,42711,80430,35700,26901,463835,405635,0.892016221
Fresno County,2045,1111571,1091628,362973,19943,198277,85456,130054,70066,68204,143612,152201,136802,125643,92463,107071,,,,,,,,,,,,,,,,,72498,22750,82459,44202,58001,42809,80629,35799,27002,466149,406888,0.892071037
Fresno County,2046,1114937,1094946,363889,19991,198491,85002,130358,70512,68562,141532,153515,136626,127336,93834,107660,,,,,,,,,,,,,,,,,72700,22850,83270,44302,58300,43003,80829,35900,27100,468254,407898,0.892107831
Fresno County,2047,1118075,1098076,364808,19998,198705,84576,130481,70966,68909,139518,154778,136519,128397,95998,107934,,,,,,,,,,,,,,,,,72901,23051,83980,44399,58600,43101,81022,36004,27200,470258,408911,0.892145235
Fresno County,2048,1120780,1100743,365728,20037,198919,84107,130443,71396,69279,137959,155107,137314,128938,98292,107946,,,,,,,,,,,,,,,,,73099,23148,84692,44600,59000,43199,81222,36115,27299,472374,409926,0.89218054
Fresno County,2049,1123295,1103223,366651,20073,199133,83643,130242,71798,69702,136628,154931,138405,129978,100252,107716,,,,,,,,,,,,,,,,,73301,23249,85510,44700,59400,43300,81321,36215,27398,474394,410944,0.892216458
Fresno County,2050,1125485,1105382,367576,20104,199347,83225,129871,72141,70108,135268,154592,139282,130002,102574,108421,,,,,,,,,,,,,,,,,73500,23352,86328,44800,59700,43391,81421,36320,27500,476312,411962,0.892257053
Fresno County,2051,1127243,1107114,368194,20129,198617,82850,129373,72430,70502,134494,153720,140975,130135,104257,108506,,,,,,,,,,,,,,,,,73697,23549,87050,44901,60000,43485,81522,36420,27500,478124,412646,0.892275704
Fresno County,2052,1128793,1108642,368812,20151,197888,82558,128746,72643,70899,134179,151672,143335,129936,106086,108738,,,,,,,,,,,,,,,,,73898,23549,87961,45003,60299,43480,81614,36523,27602,479929,413331,0.892292134
Fresno County,2053,1129886,1109719,369432,20166,197158,82286,128005,72761,71264,134659,148291,146160,129421,107905,109133,,,,,,,,,,,,,,,,,74100,23549,88775,45001,60601,43580,81716,36525,27701,481548,414017,0.892311185
Fresno County,2054,1130603,1110427,370052,20177,196429,82084,127192,72732,71582,135892,145082,147561,129637,109344,109498,,,,,,,,,,,,,,,,,74300,23750,89592,45101,60901,43574,81809,36630,27700,483357,414704,0.892328022
Fresno County,2055,1131117,1110933,370674,20184,195699,81971,126361,72582,71840,137358,141714,148411,128799,110819,111263,,,,,,,,,,,,,,,,,74500,23751,90300,45099,61300,43571,81811,36632,27799,484763,415389,0.892353914
Fresno County,2056,1131322,1111135,370503,20187,195156,81931,125560,72324,72046,137896,139401,149403,128407,112084,112268,,,,,,,,,,,,,,,,,74599,23750,91120,45201,61601,43570,81910,36732,27802,486285,415201,0.892346117
Fresno County,2057,1131204,1111018,370332,20185,194613,81935,124740,71986,72164,138400,137134,150307,128063,112769,113707,,,,,,,,,,,,,,,,,74900,23850,92034,45200,61898,43566,81908,36737,27898,487991,415013,0.892338312
Fresno County,2058,1130630,1110453,370161,20177,194070,81893,124677,71949,72128,138330,137064,150230,127998,112712,113649,,,,,,,,,,,,,,,,,75100,23849,92850,45300,62201,43564,81905,36736,27899,489404,414825,0.892330501
Fresno County,2059,1129791,1109626,369990,20165,193527,81832,124584,71896,72074,138227,136963,150119,127903,112629,113565,,,,,,,,,,,,,,,,,75300,23850,93660,45300,62500,43559,81900,36741,27900,490710,414637,0.892322682
