TAZ,HU_SF,HU_MF,HU_OTH
101,409.0,0.0,0.0
102,0.0,0.0,0.0
103,399.0,190.0,0.0
104,524.0,0.0,0.0
105,490.0,0.0,0.0
106,450.0,0.0,0.0
107,191.0,240.0,0.0
108,116.0,0.0,0.0
109,214.0,172.0,0.0
110,0.0,0.0,0.0
111,139.0,0.0,0.0
112,0.0,0.0,0.0
113,117.0,100.0,0.0
114,139.0,0.0,0.0
115,231.0,104.0,0.0
116,4.0,120.0,0.0
117,481.0,0.0,0.0
118,83.0,0.0,0.0
119,210.0,0.0,0.0
120,197.0,0.0,0.0
121,5.0,0.0,0.0
122,7.0,0.0,0.0
123,1.0,0.0,0.0
124,88.0,0.0,0.0
125,7.0,0.0,0.0
126,0.0,0.0,0.0
127,1.0,0.0,0.0
128,459.0,0.0,0.0
129,153.0,0.0,0.0
130,122.0,0.0,0.0
131,66.0,119.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,422.0,5.0,0.0
135,0.0,0.0,0.0
136,57.0,251.0,0.0
137,238.0,0.0,0.0
138,452.0,100.0,0.0
139,101.0,149.0,0.0
140,365.0,311.0,0.0
141,118.0,42.0,0.0
142,0.0,38.0,0.0
143,26.0,0.0,0.0
144,0.0,521.0,0.0
145,241.0,36.0,0.0
146,42.0,117.0,0.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,215.0,32.0,0.0
150,59.0,8.0,0.0
151,30.0,403.0,0.0
152,288.0,0.0,0.0
153,512.0,0.0,0.0
154,464.0,0.0,0.0
155,181.0,80.0,0.0
156,0.0,999.0,290.0
157,29.0,81.0,0.0
158,31.0,697.0,0.0
159,0.0,338.0,0.0
160,275.0,231.0,1.0
161,0.0,0.0,0.0
162,63.0,26.0,0.0
163,259.0,222.0,0.0
164,511.0,0.0,0.0
165,258.0,0.0,0.0
166,572.0,0.0,0.0
167,576.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,466.0,118.0,0.0
171,0.0,0.0,0.0
172,0.0,66.0,323.0
173,110.0,199.0,224.0
174,0.0,0.0,0.0
175,1.0,0.0,0.0
176,299.0,245.0,0.0
177,8.0,33.0,0.0
178,0.0,377.0,0.0
179,0.0,0.0,0.0
180,477.0,0.0,0.0
181,437.0,0.0,0.0
182,566.0,0.0,0.0
183,480.0,0.0,0.0
184,0.0,0.0,0.0
185,233.0,111.0,0.0
186,0.0,0.0,58.0
187,0.0,453.0,0.0
188,287.0,202.0,0.0
189,0.0,790.0,0.0
190,165.0,27.0,0.0
191,1.0,216.0,0.0
192,340.0,25.0,0.0
193,0.0,0.0,0.0
194,83.0,394.0,0.0
195,500.0,397.0,0.0
196,370.0,45.0,0.0
197,307.0,0.0,0.0
198,493.0,0.0,0.0
199,246.0,190.0,0.0
200,426.0,725.0,0.0
201,527.0,135.0,0.0
202,319.0,0.0,0.0
203,397.0,0.0,0.0
204,536.0,0.0,0.0
205,344.0,28.0,0.0
206,314.0,0.0,0.0
207,484.0,48.0,0.0
208,444.0,0.0,0.0
209,137.0,0.0,0.0
210,67.0,0.0,0.0
211,313.0,0.0,0.0
212,368.0,0.0,11.0
213,366.0,0.0,0.0
214,345.0,0.0,0.0
215,1.0,0.0,0.0
241,0.0,0.0,0.0
242,7.0,0.0,0.0
243,28.0,0.0,0.0
244,10.0,0.0,0.0
245,18.0,0.0,0.0
246,6.0,0.0,0.0
247,3.0,0.0,0.0
248,5.0,0.0,0.0
249,2.0,0.0,0.0
250,0.0,0.0,0.0
251,2.0,0.0,0.0
252,215.0,0.0,0.0
253,638.0,0.0,0.0
254,621.0,0.0,0.0
255,466.0,0.0,0.0
256,431.0,0.0,0.0
257,209.0,0.0,0.0
258,256.0,0.0,0.0
259,247.0,0.0,0.0
260,48.0,0.0,0.0
261,46.0,0.0,0.0
262,47.0,0.0,0.0
263,404.0,0.0,0.0
264,423.0,0.0,0.0
265,372.0,0.0,0.0
266,224.0,0.0,0.0
267,619.0,0.0,0.0
268,600.0,0.0,0.0
269,254.0,0.0,0.0
270,250.0,0.0,0.0
271,113.0,0.0,0.0
272,30.0,0.0,0.0
273,59.0,0.0,0.0
274,532.0,0.0,0.0
275,350.0,0.0,0.0
276,15.0,0.0,0.0
277,579.0,0.0,0.0
278,453.0,1.0,0.0
279,516.0,0.0,0.0
280,148.0,0.0,0.0
281,128.0,0.0,0.0
282,444.0,0.0,0.0
283,207.0,130.0,0.0
284,125.0,0.0,0.0
285,376.0,0.0,0.0
286,110.0,0.0,0.0
287,3.0,0.0,0.0
288,499.0,0.0,0.0
289,0.0,0.0,0.0
290,0.0,0.0,0.0
