SOI,TARGET_YEAR,HHPOP_TARGET,GQPOP_TARGET,SCHL_TARGET,POP_TOT_TARGET,POP_White_TARGET,HH_TARGET,EMP_TARGET,EDU_TARGET,FOO_TARGET,GOV_TARGET,IND_TARGET,MED_TARGET,OFC_TARGET,OTH_TARGET,RET_TARGET,AGR_TARGET,BASE_YEAR,HHPOP_BASE,GQPOP_BASE,SCHL_BASE,HH_BASE,EMP_BASE,EDU_BASE,FOO_BASE,GOV_BASE,IND_BASE,MED_BASE,OFC_BASE,OTH_BASE,RET_BASE,AGR_BASE,HH_POP,Base_HH,Base_HU,Base_EMP,Base_AGR,Base_SCHL,VacRate,HH_SIZE,SOI_HH_Target,SOI_HU_Target,SOI_HHPOP_Target,SOI_GQ_Target,SOI_SCHL_Target,SCHL_Factor,SOI_EDU_Target,SOI_FOO_Target,SOI_GOV_Target,SOI_IND_Target,SOI_MED_Target,SOI_OFC_Target,SOI_OTH_Target,SOI_RET_Target,SOI_AGR_Target,SOI_EMP_Target
Fresno County,2035,1047047.0,19560.0,185207.0,1066607.0,245118.0,349887.0,442667.0,41062.0,34381.0,25901.0,74922.0,78250.0,54198.0,20952.0,42401.0,70600.0,2023,993782.0,18742.0,202610.0,328642.0,415596.0,38995.0,32500.0,24598.0,67300.0,75398.0,50312.0,18799.0,39494.0,68200.0,996566.0,328642.0,348391,421606,70198,287553,0.056686309347830456,2.507178159566957,21245.0,22521.670373841444,53265.0,818.0,-17403.0,0.9394789830048721,2067.0,1881.0,1303.0,7622.0,2852.0,3886.0,2153.0,2907.0,2400.0,24671.0
Clovis,2035,141996.0,497.0,23002.0,142494.0,64834.0,51444.0,44858.0,5268.0,6222.0,1616.0,4288.0,7946.0,5262.0,2876.0,7544.0,3836.0,2023,127067.0,429.0,24335.0,45820.0,40716.0,4856.0,5744.0,1491.0,3858.0,7433.0,4156.0,2513.0,6959.0,3705.0,135011.0,46456.0,48202,40879,3481,29969,0.0362225633791129,2.654516358463727,5624.0,5835.372137075943,14929.0,68.0,-1333.0,0.9555207047282192,412.0,478.0,125.0,430.0,513.0,1106.0,363.0,585.0,131.0,4011.0
Coalinga,2035,13579.0,4188.0,2460.0,17767.0,4325.0,4631.0,5169.0,1180.0,267.0,2151.0,284.0,461.0,184.0,44.0,332.0,267.0,2023,12778.0,4516.0,2780.0,4327.0,5013.0,1145.0,260.0,2089.0,256.0,454.0,189.0,40.0,322.0,258.0,13378.0,4426.0,4615,7103,361,7517,0.0409534127843987,2.6348684210526314,304.0,316.9814731134207,801.0,-328.0,-320.0,0.9574298257283491,35.0,7.0,62.0,28.0,7.0,-5.0,4.0,10.0,9.0,147.0
Firebaugh,2035,8816.0,15.0,1543.0,8831.0,484.0,2392.0,2449.0,300.0,113.0,85.0,1435.0,145.0,54.0,63.0,109.0,146.0,2023,8399.0,14.0,1922.0,2252.0,2147.0,264.0,99.0,74.0,1291.0,129.0,0.0,54.0,95.0,141.0,7409.0,2199.0,2288,2774,471,2253,0.0388986013986014,2.9785714285714286,140.0,145.6662119145066,417.0,1.0,-379.0,0.831779849090102,36.0,14.0,11.0,144.0,16.0,54.0,9.0,14.0,5.0,297.0
Fowler,2035,8844.0,66.0,1441.0,8909.0,1335.0,2782.0,4689.0,362.0,294.0,63.0,1499.0,408.0,513.0,92.0,160.0,1298.0,2023,7345.0,53.0,1484.0,2320.0,4025.0,336.0,221.0,53.0,1240.0,389.0,326.0,73.0,134.0,1253.0,6837.0,2240.0,2366,3681,1033,2376,0.05325443786982249,3.2445887445887447,462.0,487.9875,1499.0,13.0,-43.0,0.9819023569023569,26.0,73.0,10.0,259.0,19.0,187.0,19.0,26.0,45.0,619.0
Fresno,2035,605821.0,12015.0,111889.0,617835.0,128622.0,207099.0,271764.0,24640.0,22426.0,18353.0,44397.0,60511.0,40169.0,14726.0,26647.0,19895.0,2023,581952.0,11123.0,118559.0,196172.0,259009.0,23745.0,21643.0,17703.0,39945.0,59179.0,38428.0,13451.0,25695.0,19219.0,582760.0,197549.0,206571,266341,18516,176194,0.04367505603400284,2.1844056008053445,10927.0,11426.032614693064,23869.0,892.0,-6670.0,0.962144000363236,895.0,783.0,650.0,4452.0,1332.0,1741.0,1275.0,952.0,676.0,12079.0
Huron,2035,6392.0,0.0,1185.0,6392.0,154.0,1675.0,1225.0,19.0,6.0,52.0,272.0,120.0,40.0,12.0,109.0,595.0,2023,6186.0,0.0,1579.0,1604.0,1111.0,15.0,5.0,43.0,245.0,100.0,30.0,9.0,89.0,575.0,6652.0,1687.0,1768,631,333,1250,0.04581447963800905,2.9014084507042255,71.0,74.40901007705986,206.0,0.0,-394.0,0.6848,4.0,1.0,9.0,27.0,20.0,10.0,3.0,20.0,20.0,94.0
Kerman,2035,19638.0,10.0,3477.0,19647.0,2025.0,5553.0,5158.0,752.0,410.0,282.0,506.0,538.0,513.0,90.0,810.0,1257.0,2023,16957.0,8.0,3906.0,4785.0,4422.0,641.0,350.0,241.0,455.0,466.0,292.0,73.0,691.0,1214.0,15336.0,4601.0,4759,4101,1090,4747,0.03320025215381383,3.4908854166666665,768.0,794.3733970875896,2681.0,2.0,-429.0,0.9096271329260586,111.0,60.0,41.0,51.0,72.0,221.0,17.0,119.0,43.0,693.0
Kingsburg,2035,14450.0,104.0,2355.0,14555.0,5841.0,5128.0,5881.0,509.0,573.0,146.0,1855.0,575.0,564.0,130.0,913.0,616.0,2023,12780.0,89.0,2433.0,4523.0,5202.0,454.0,512.0,130.0,1669.0,520.0,397.0,110.0,814.0,595.0,15202.0,5498.0,5888,6127,1672,3333,0.06623641304347826,2.760330578512397,605.0,647.9156056747909,1670.0,15.0,-78.0,0.9765976597659766,55.0,61.0,16.0,186.0,55.0,167.0,20.0,99.0,21.0,658.0
Mendota,2035,13396.0,0.0,2568.0,13396.0,286.0,3106.0,2059.0,500.0,143.0,502.0,365.0,195.0,70.0,12.0,201.0,71.0,2023,12508.0,0.0,3200.0,2870.0,1810.0,453.0,130.0,456.0,329.0,179.0,2.0,10.0,182.0,69.0,11368.0,3004.0,3089,1650,303,3670,0.02751699579151829,3.76271186440678,236.0,242.67776298268976,888.0,0.0,-632.0,0.8277929155313352,47.0,13.0,46.0,36.0,16.0,68.0,2.0,19.0,2.0,247.0
