MAZ,TAZ,SOI,POP,HH,HU,HU_SF,HU_MF,HU_OTH,EMP,EMP_EDU,EMP_FOO,EMP_GOV,EMP_IND,EMP_MED,EMP_OFC,EMP_OTH,EMP_RET,EMP_AGR,ELEM,HS,COLLEGE,SCHL_Factor
1,2221,Unincorporate,12,4,4.017374668540619,2.0086873342703093,0.0,2.0086873342703093,1.0341894952775759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0341894952775759,0,0,0,1.0
2,2221,Unincorporate,9,3,3.013031001405464,2.0086873342703093,0.0,1.0043436671351547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
3,2221,Unincorporate,6,2,2.0086873342703093,2.0086873342703093,0.0,0.0,4.1367579811103035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1367579811103035,0,0,0,1.0
4,2221,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
5,2221,Unincorporate,12,4,4.017374668540619,4.017374668540619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
6,2221,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
7,2221,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
8,2221,Unincorporate,12,4,4.017374668540619,1.0043436671351547,0.0,3.013031001405464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
9,2221,Unincorporate,3,1,1.0043436671351547,0.0,0.0,1.0043436671351547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
10,2221,Unincorporate,21,7,7.030405669946083,5.021718335675773,0.0,2.0086873342703093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
11,2221,Unincorporate,30,10,10.043436671351547,8.034749337081237,0.0,2.0086873342703093,3.1025684858327276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1025684858327276,0,0,0,1.0
12,2221,Unincorporate,59,19,19.08252967556794,16.069498674162475,0.0,3.013031001405464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
13,2221,Unincorporate,71,23,23.09990434410856,13.05646767275701,0.0,10.043436671351547,9.307705457498184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.307705457498184,0,0,0,1.0
14,2221,Unincorporate,9,3,3.013031001405464,3.013031001405464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
15,2221,Unincorporate,12,4,4.017374668540619,4.017374668540619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
16,2221,Unincorporate,46,15,15.06515500702732,9.039093004216392,0.0,6.026062002810928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
17,2221,Unincorporate,43,14,14.060811339892165,8.034749337081237,0.0,6.026062002810928,23.786358391384244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.786358391384244,0,0,0,1.0
18,2221,Unincorporate,31,10,10.043436671351547,8.034749337081237,0.0,2.0086873342703093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
19,2221,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
20,2221,Unincorporate,3,1,1.0043436671351547,1.0043436671351547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
21,2221,Unincorporate,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
22,2221,Unincorporate,6,2,2.0086873342703093,2.0086873342703093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
23,2221,Unincorporate,9,3,3.013031001405464,0.0,0.0,3.013031001405464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
24,2221,Unincorporate,16,5,5.021718335675773,1.0043436671351547,0.0,4.017374668540619,1.0450434246566886,0.0,0.0,0.0,0.0,1.0450434246566886,0.0,0.0,0.0,0.0,0,0,0,1.0
25,2221,Unincorporate,3,1,1.0043436671351547,1.0043436671351547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
26,2221,Unincorporate,37,12,12.052124005621856,11.047780338486701,0.0,1.0043436671351547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
27,2221,Unincorporate,71,23,23.09990434410856,10.043436671351547,0.0,13.05646767275701,3.1134224152118404,0.0,0.0,0.0,0.0,1.0450434246566886,0.0,0.0,0.0,2.0683789905551517,0,0,0,1.0
