MAZ,TAZ,SOI,bike_skim,IDX_Bike
1,2221,Unincorporate,1.0,0.007465382299819386
2,2221,Unincorporate,0.0,0.0
3,2221,Unincorporate,4.0,0.04298615291992775
4,2221,Unincorporate,0.0,0.0
5,2221,Unincorporate,0.0,0.0
6,2221,Unincorporate,0.0,0.0
7,2221,Unincorporate,0.0,0.0
8,2221,Unincorporate,0.0,0.0
9,2221,Unincorporate,0.0,0.0
10,2221,Unincorporate,0.0,0.0
11,2221,Unincorporate,3.0,0.033564118001204096
12,2221,Unincorporate,0.0,0.0
13,2221,Unincorporate,18.0,0.11815171583383503
14,2221,Unincorporate,0.0,0.0
15,2221,Unincorporate,0.0,0.0
16,2221,Unincorporate,0.0,0.0
17,2221,Unincorporate,23.0,0.14145093317278748
18,2221,Unincorporate,0.0,0.0
19,2221,Unincorporate,0.0,0.0
20,2221,Unincorporate,0.0,0.0
21,2221,Unincorporate,9.0,0.07393136664659844
22,2221,Unincorporate,0.0,0.0
23,2221,Unincorporate,0.0,0.0
24,2221,Unincorporate,1.0,0.007465382299819386
25,2221,Unincorporate,0.0,0.0
26,2221,Unincorporate,0.0,0.0
27,2221,Unincorporate,6.0,0.05770620108368453
28,2221,Unincorporate,2.0,0.021763997591812162
29,2221,Unincorporate,0.0,0.0
30,2221,Unincorporate,3.0,0.033564118001204096
31,2221,Unincorporate,0.0,0.0
32,2221,Unincorporate,0.0,0.0
33,2221,Unincorporate,3.0,0.033564118001204096
34,2221,Unincorporate,0.0,0.0
35,2221,Unincorporate,0.0,0.0
36,2221,Unincorporate,0.0,0.0
37,2221,Unincorporate,0.0,0.0
38,2221,Unincorporate,0.0,0.0
39,2221,Unincorporate,0.0,0.0
40,2221,Unincorporate,0.0,0.0
41,2221,Unincorporate,0.0,0.0
42,2221,Unincorporate,2.0,0.021763997591812162
43,2221,Unincorporate,0.0,0.0
44,2221,Unincorporate,3.0,0.033564118001204096
45,2221,Unincorporate,0.0,0.0
46,2221,Unincorporate,0.0,0.0
47,2221,Unincorporate,37.0,0.1790487658037327
48,2223,Unincorporate,0.0,0.0
49,2223,Unincorporate,0.0,0.0
50,2223,Unincorporate,0.0,0.0
51,2223,Unincorporate,0.0,0.0
52,2223,Unincorporate,0.0,0.0
53,2223,Unincorporate,0.0,0.0
54,2223,Unincorporate,0.0,0.0
55,2223,Unincorporate,0.0,0.0
56,2223,Unincorporate,2.0,0.021763997591812162
57,2223,Unincorporate,152.0,0.30033112582781457
58,2223,Unincorporate,152.0,0.30033112582781457
59,2223,Unincorporate,0.0,0.0
60,2223,Unincorporate,0.0,0.0
61,2223,Unincorporate,0.0,0.0
62,2223,Unincorporate,2.0,0.021763997591812162
63,2223,Unincorporate,0.0,0.0
64,2223,Unincorporate,0.0,0.0
65,2223,Unincorporate,0.0,0.0
66,2223,Unincorporate,0.0,0.0
67,2223,Unincorporate,0.0,0.0
68,2223,Unincorporate,0.0,0.0
69,2223,Unincorporate,0.0,0.0
70,2223,Unincorporate,0.0,0.0
71,2223,Unincorporate,0.0,0.0
72,2223,Unincorporate,0.0,0.0
73,2223,Unincorporate,264.0,0.3513546056592414
74,2223,Unincorporate,0.0,0.0
75,2223,Unincorporate,0.0,0.0
76,2223,Unincorporate,0.0,0.0
77,2223,Unincorporate,0.0,0.0
78,2223,Unincorporate,0.0,0.0
79,2223,Unincorporate,132.0,0.28750752558699577
80,2223,Unincorporate,0.0,0.0
81,2223,Unincorporate,0.0,0.0
82,2223,Unincorporate,0.0,0.0
83,2223,Unincorporate,0.0,0.0
84,2223,Unincorporate,0.0,0.0
85,2223,Unincorporate,0.0,0.0
86,2223,Unincorporate,0.0,0.0
87,2223,Unincorporate,30.0,0.1627031908488862
88,2223,Unincorporate,15.0,0.10361228175797713
89,2223,Unincorporate,20.0,0.1290487658037327
90,2223,Unincorporate,0.0,0.0
91,2223,Unincorporate,0.0,0.0
92,2223,Unincorporate,0.0,0.0
93,2223,Unincorporate,0.0,0.0
94,2223,Unincorporate,0.0,0.0
95,2223,Unincorporate,0.0,0.0
96,2223,Unincorporate,0.0,0.0
97,2223,Unincorporate,0.0,0.0
98,2223,Unincorporate,0.0,0.0
99,2223,Unincorporate,0.0,0.0
100,2223,Unincorporate,0.0,0.0
101,2223,Unincorporate,0.0,0.0
102,2223,Unincorporate,8.0,0.06815171583383504
103,2223,Unincorporate,0.0,0.0
104,2223,Unincorporate,0.0,0.0
105,2223,Unincorporate,0.0,0.0
106,2223,Unincorporate,0.0,0.0
107,2223,Unincorporate,40.0,0.18552077062010836
108,2223,Unincorporate,0.0,0.0
109,2222,Unincorporate,0.0,0.0
110,2222,Unincorporate,0.0,0.0
111,2222,Unincorporate,0.0,0.0
112,2222,Unincorporate,0.0,0.0
113,2222,Unincorporate,0.0,0.0
114,2222,Unincorporate,0.0,0.0
115,2222,Unincorporate,0.0,0.0
116,2222,Unincorporate,0.0,0.0
117,2222,Unincorporate,0.0,0.0
118,2222,Unincorporate,0.0,0.0
119,2222,Unincorporate,0.0,0.0
120,2222,Unincorporate,0.0,0.0
121,2222,Unincorporate,0.0,0.0
122,2222,Unincorporate,0.0,0.0
