TAZ,SOI,POP,HH,HU,HU_SF,HU_MF,HU_OTH,EMP,EMP_EDU,EMP_FOO,EMP_GOV,EMP_IND,EMP_MED,EMP_OFC,EMP_OTH,EMP_RET,EMP_AGR,ELEM,HS,COLLEGE
101,Clovis,981,397,409.000204969872,409.0001630233032,3.243399923897059e-05,9.512569566601329e-06,291.25650668832,16.0,47.0,0.0,0.0,28.0,26.0,48.0,58.0,68.25650668832,115,0,0
102,Clovis,0,0,0.0,0.0,0.0,0.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2114,2706,0
103,Clovis,1545,529,591.57882865904,401.05107785972154,190.4080683953627,0.11968240395575414,551.9573058677721,0.0,230.0,0.0,6.0,101.0,79.0,13.0,94.0,28.957305867772124,0,0,0
104,Clovis,1336,517,533.20408349072,531.3204909526141,1.4564347141390332,0.42715782396683544,129.0,3.0,14.0,0.0,33.0,13.0,65.0,1.0,0.0,0.0,0,0,0
105,Clovis,1375,474,490.65204875792,490.5186086195143,0.10317881702218655,0.030261321383515272,116.33339031582545,0.0,13.0,0.0,2.0,37.0,10.0,14.0,0.0,40.333390315825454,0,0,0
106,Clovis,1654,438,450.0,450.0,0.0,0.0,117.1367579811103,54.0,2.0,0.0,40.0,12.0,2.0,0.0,3.0,4.1367579811103035,637,0,0
107,Clovis,1040,404,431.0,191.0,240.0,0.0,1061.0,15.0,118.0,0.0,100.0,162.0,44.0,55.0,567.0,0.0,0,0,0
108,Clovis,278,109,116.0,116.0,0.0,0.0,1920.4616436599854,0.0,0.0,249.0,897.0,258.0,211.0,22.0,209.0,74.46164365998547,0,0,0
109,Clovis,1058,378,391.05403871744,218.01974240482326,172.79974040240987,0.23455591020686473,632.12825334416,0.0,19.0,0.0,64.0,267.0,164.0,23.0,61.0,34.12825334416001,0,0,0
110,Clovis,0,0,0.0,0.0,0.0,0.0,311.0,0.0,164.0,0.0,0.0,5.0,5.0,48.0,89.0,0.0,0,0,0
