parcelid,xcoord_p,ycoord_p,sqft_p,taz_p,block_p,hh_p,stugrad_p,stuhgh_p,stuuni_p,empedu_p,empfoo_p,empgov_p,empind_p,empmed_p,empofc_p,empret_p,empsvc_p,empoth_p,emptot_p,parkdy_p,parkhr_p,ppricdyp,pprichrp
1,6115057.6,2242899.43,2860629.38,2221,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.034189495277576,1.034189495277576,0,0,0,0
2,6105939.32,2247125.26,18308318.01,2221,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
3,6118696.47,2236080.06,21991974.22,2221,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.136757981110304,4.136757981110304,0,0,0,0
4,6123196.12,2233153.91,1073702.84,2221,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
5,6098276.07,2235064.4,6946693.45,2221,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
6,6105028.67,2260131.25,432088.31,2221,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
7,6091249.36,2231845.85,27297614.09,2221,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
8,6098100.8,2249259.26,10045365.19,2221,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
9,6106258.78,2250638.56,5608051.71,2221,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10,6100921.96,2235016.64,6978577.42,2221,0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11,6103800.12,2241679.92,15056390.2,2221,0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.102568485832728,3.102568485832728,0,0,0,0
12,6110124.65,2252941.48,85332073.17,2221,0,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
13,6120991.84,2244125.45,218279150.2,2221,0,23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.307705457498184,9.307705457498184,0,0,0,0
14,6102967.18,2255733.61,27287386.75,2221,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
15,6101584.27,2230984.89,35034568.32,2221,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
16,6107742.3,2241448.99,26658857.98,2221,0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
17,6113172.67,2238298.31,61275063.51,2221,0,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.786358391384244,23.786358391384244,0,0,0,0
18,6115593.38,2229384.88,42139908.69,2221,0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
19,6100445.26,2225991.7,19300751.57,2221,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
20,6119396.45,2229819.69,20872003.51,2221,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
21,6121917.87,2241300.01,10144218.59,2221,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
22,6098326.69,2237703.51,6992507.29,2221,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
23,6103591.55,2237571.16,6940260.3,2221,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
24,6112630.31,2227588.39,33975055.71,2221,0,5,0,0,0,0.0,0.0,0.0,0.0,1.0450434246566886,0.0,0.0,0.0,0.0,1.0450434246566886,0,0,0,0
